
1470206324200	6562
1470206325163	6560
1470206327121	6560
1470206328090	6564
1470206329075	6562
1470206330045	6565
1470206331019	6564
1470206332002	6566
1470206332977	6565
1470206333951	6568
1470206524463	6571
1470206524465	6569
1470206524465	6573
1470206524467	6571
1470206524467	6588
1470206524467	6610
1470206536577	6551
1470206537547	6553
1470206538531	6584
1470206539502	6608
1470206540485	6633
1470206542435	6666
1470206543415	6676
1470206544382	6687
1470206545366	6680
1470206546343	6676
1470206547318	6693
1470206548299	6739
1470206549274	6764
1470206550246	6785
1470206551228	6767
1470206553173	6867
1470206554156	6925
1470206555132	6968
1470206556107	6977
1470206557088	6945
1470206558061	6911
1470206559033	6876
1470206560014	6843
1470206560990	6810
1470206561965	6790
1470206562944	6767
1470206563920	6748
1470206564897	6738
1470206587532	6639
1470206588356	6638
1470206589337	6641
1470206590311	6639
1470206591293	6642
1470206592265	6640
1470206593245	6643
1470206594223	6641
